family,write_rate,rename_count,crypto_calls,processes,registry_ops,network_out
REvil,260,97,425,9,17,5
REvil,251,90,408,8,15,4
REvil,263,99,431,10,17,5
REvil,235,91,387,7,12,3
REvil,255,95,415,9,16,4
REvil,270,101,443,10,18,5
REvil,242,93,398,8,14,4
REvil,236,90,389,7,13,3
REvil,258,96,420,9,16,5
REvil,248,94,404,8,15,4
REvil,264,98,432,10,17,5
REvil,233,89,385,7,12,3
REvil,257,97,418,9,16,4
REvil,272,102,446,10,18,5
REvil,245,92,402,8,14,4
REvil,240,95,395,7,13,3
REvil,259,96,421,9,16,5
REvil,250,93,407,8,15,4
REvil,267,99,434,10,17,5
REvil,234,88,386,7,12,3
REvil,256,94,412,9,16,4
REvil,271,100,445,10,18,5
REvil,243,91,399,8,14,4
REvil,238,92,392,7,13,3
REvil,261,97,423,9,16,5
REvil,252,95,408,8,15,4
REvil,265,98,433,10,17,5
REvil,236,90,388,7,12,3
REvil,257,96,417,9,16,4
REvil,273,103,449,10,19,5
REvil,244,92,382,7,15,4
REvil,231,86,403,8,13,3
REvil,250,94,410,8,14,4
REvil,239,87,396,7,15,5
REvil,258,91,421,8,16,4
REvil,247,89,385,9,14,4
REvil,233,92,405,7,12,3
REvil,245,95,398,8,15,4
REvil,256,88,414,7,13,5
REvil,240,93,389,9,16,4
REvil,254,90,407,8,14,4
REvil,236,87,392,7,12,3
REvil,262,95,423,9,15,4
REvil,248,91,399,7,14,4
REvil,259,92,417,8,13,5
REvil,243,88,386,7,16,4
REvil,235,90,402,8,12,4
REvil,251,96,415,9,14,5
REvil,244,89,395,7,15,4
REvil,260,94,420,8,13,4
REvil,238,86,387,7,14,3
REvil,255,93,409,8,16,4
REvil,249,90,399,9,15,4
REvil,263,97,428,8,12,5
REvil,241,87,390,7,13,4
REvil,257,95,416,9,15,4
REvil,246,89,403,7,12,4
REvil,252,92,413,8,14,5
REvil,239,88,388,7,13,4
REvil,261,96,425,9,16,4
REvil,243,90,400,8,14,4
REvil,258,94,419,9,15,5
REvil,234,87,386,7,13,3
REvil,253,93,408,9,12,4
REvil,245,89,397,8,16,4
REvil,259,95,422,7,14,5
REvil,242,88,391,8,13,4
REvil,264,98,430,9,15,4
REvil,250,92,405,7,12,4
REvil,237,86,382,8,14,3
REvil,256,94,418,8,15,4
REvil,248,90,399,7,13,4
REvil,266,97,432,9,16,5
REvil,240,88,387,8,14,4
REvil,254,93,412,7,12,4
REvil,260,95,421,9,15,4
REvil,246,89,398,8,13,4
REvil,268,99,437,9,16,5
REvil,244,91,404,7,14,3
REvil,257,94,417,8,15,4
REvil,252,92,410,9,12,4
REvil,241,87,389,8,13,3
REvil,263,96,427,9,15,4
REvil,249,90,401,7,12,4
REvil,255,93,416,8,14,5
REvil,239,88,384,7,16,4
REvil,267,98,435,9,15,5
REvil,247,91,403,8,12,4
REvil,259,95,419,7,14,4
REvil,243,89,392,8,13,4
REvil,265,97,431,9,16,5
REvil,251,93,409,7,12,4
REvil,238,86,383,8,13,3
REvil,270,100,440,9,15,5
REvil,256,94,417,7,14,4
REvil,245,88,395,8,12,4
REvil,262,96,426,9,15,4
REvil,250,91,402,7,14,4
REvil,268,98,438,9,16,5
REvil,241,87,388,8,12,4
REvil,238,88,384,8,15,4
REvil,245,93,396,8,14,4
REvil,232,90,389,7,13,4
REvil,247,95,401,9,16,5
REvil,241,89,392,8,14,4
REvil,236,92,387,8,15,4
REvil,249,96,405,9,15,4
REvil,243,91,398,8,13,4
REvil,252,97,409,9,16,5
REvil,235,88,382,7,14,4
REvil,239,94,395,8,15,4
REvil,246,90,399,8,14,3
REvil,233,87,380,7,13,4
REvil,250,98,408,9,15,4
REvil,241,92,393,8,14,4
REvil,237,89,386,8,13,4
REvil,244,93,400,8,15,4
REvil,248,96,404,9,16,4
REvil,236,90,388,7,14,3
REvil,242,91,396,8,15,4
REvil,251,99,410,9,16,5
REvil,234,86,379,7,13,3
REvil,240,90,391,8,14,4
REvil,245,94,397,8,15,4
REvil,238,89,385,7,14,4
REvil,247,95,403,9,15,4
REvil,243,92,399,8,14,4
REvil,237,88,383,7,13,3
REvil,249,97,407,9,16,4
REvil,241,93,394,8,15,4
REvil,235,87,381,7,13,4
REvil,246,95,402,8,15,4
REvil,239,90,390,8,14,3
REvil,252,100,409,9,16,4
REvil,244,92,398,8,15,4
REvil,236,89,384,7,14,4
REvil,248,96,406,9,15,4
REvil,242,91,395,8,14,4
REvil,234,88,382,7,13,3
REvil,250,99,408,9,16,4
REvil,238,90,387,8,14,4
REvil,245,93,399,8,15,4
REvil,233,86,379,7,13,3
REvil,247,95,404,9,15,4
REvil,240,91,392,8,14,4
REvil,236,88,383,7,13,4
REvil,249,97,405,9,16,4
REvil,243,92,396,8,14,3
REvil,235,89,385,7,14,4
REvil,251,100,410,9,16,5
REvil,239,90,389,8,14,4
REvil,246,94,401,8,15,4
REvil,237,87,382,7,13,3
REvil,248,96,407,9,15,4
REvil,242,93,395,8,14,4
REvil,234,88,381,7,13,4
REvil,250,99,409,9,16,4
REvil,241,91,393,8,14,3
REvil,238,89,386,8,14,4
REvil,247,95,402,9,15,4
REvil,233,86,378,7,13,3
REvil,244,92,397,8,15,4
REvil,236,90,384,7,14,4
REvil,249,98,406,9,16,4
REvil,243,93,398,8,14,4
REvil,235,87,380,7,13,3
REvil,252,100,411,9,16,5
REvil,240,90,392,8,14,4
REvil,246,94,400,8,15,4
REvil,238,89,385,7,14,4
REvil,247,96,404,9,15,4
REvil,242,92,396,8,14,3
REvil,234,88,382,7,13,4
REvil,250,99,408,9,16,4
REvil,239,91,390,8,14,4
REvil,245,93,399,8,15,4
REvil,237,89,383,7,13,3
REvil,248,96,405,9,15,4
REvil,241,92,394,8,14,4
REvil,236,90,387,7,14,4
